ability,label,module,source,category,description,annotations,tier,R,W,D,show_in_rest,mcp_public,input_schema_compact,output_schema_compact,registrar_file_line,v140_fixed_set,campaign_tested,campaign_result,severity,symptom_short,bug_issue,cluster_pattern,caution_register_entry,probe_site,last_verified
surecart/create-fulfillment,Create Fulfillment,surecart,Create a new fulfillment record for a SureCart order.,surecart,"Create a new fulfillment record for a SureCart order. Includes tracking number, carrier, and fulfillment items specifying which line items and quantities are being fulfilled.",,,,,,true,true,"required:[order_id,shipment_status,fulfillment_items]; props:[order_id,shipment_status,notifications_enabled,trackings,fulfillment_items,metadata]","type:object; props:[success,fulfillment]",abilities-for-ai:includes/suites/surecart/fulfillment-abilities.php:79,,,,,,,,,dev2,2026-05-21
surecart/create-price,Create Price,surecart,Create a new price for an existing SureCart product.,surecart,"Create a new price for an existing SureCart product. Requires the product ID, amount in the smallest currency unit (e.g., cents for USD), and currency code. Supports one-time and recurring pricing.",,,,,,true,true,"required:[product,amount,currency]; props:[product,amount,currency,recurring_interval,recurring_interval_count,name]","type:object; props:[success,price]",abilities-for-ai:includes/suites/surecart/product-abilities.php:303,,,,,,,,,dev2,2026-05-21
surecart/create-product,Create Product,surecart,"Create a new SureCart product with a name, description, and optional initial price.",surecart,"Create a new SureCart product with a name, description, and optional initial price. The product is created in active (non-archived) state. Returns the newly created product object.",,,,,,true,true,"required:[name]; props:[name,description,price,currency,recurring]","type:object; props:[success,product]",abilities-for-ai:includes/suites/surecart/product-abilities.php:87,,,,,,,,,dev2,2026-05-21
surecart/create-product-collection,Create SureCart Product Collection,surecart,Creates a new product collection.,surecart,Creates a new product collection.,"idempotent,permission:write",pro,,✓,,true,true,"required:[name]; props:[name,description]",type:none,abilities-for-ai:includes/suites/surecart/product-abilities.php:484,,,,,,,,,dev2,2026-05-21
surecart/create-promotion,Create Promotion,surecart,Create a new SureCart promotion code linked to an existing coupon.,surecart,Create a new SureCart promotion code linked to an existing coupon. Promotions are the customer-facing codes that apply a coupon discount at checkout. Optionally restrict to a specific customer.,,,,,,true,true,"required:[coupon]; props:[code,coupon,customer]","type:object; props:[success,promotion]",abilities-for-ai:includes/suites/surecart/coupon-abilities.php:230,,,,,,,,,dev2,2026-05-21
surecart/create-refund,Create Refund,surecart,Issue a monetary refund against a SureCart charge.,surecart,"Issue a monetary refund against a SureCart charge. Requires the charge ID, refund amount in the smallest currency unit (e.g., cents for USD), and a reason code(duplicate, fraudulent, requested_by_customer, expired_uncaptured_charge). This initiates an irreversible financial transaction that returns money to the customer's payment method.",destructive,,,,,true,true,"required:[charge,amount,reason]; props:[charge,amount,reason,return_request,refund_items]","type:object; props:[success,refund]",abilities-for-ai:includes/suites/surecart/payment-abilities.php:138,,,,,,,,,dev2,2026-05-21
surecart/create-webhook,Create SureCart Webhook,surecart,Creates a new webhook endpoint.,surecart,Creates a new webhook endpoint.,"idempotent,permission:write",pro,,✓,,true,true,"required:[url,events]; props:[url,events]",type:none,abilities-for-ai:includes/suites/surecart/webhook-abilities.php:70,,,,,,,,,dev2,2026-05-21
surecart/delete-coupon,Delete Coupon,surecart,Permanently delete a SureCart coupon by its ID.,surecart,Permanently delete a SureCart coupon by its ID. This removes the coupon and all associated promotion codes. Requires explicit confirmation. This action cannot be undone.,"destructive,idempotent",,,,,true,true,"required:[id,confirm]; props:[id,confirm]","type:object; props:[success,id]",abilities-for-ai:includes/suites/surecart/coupon-abilities.php:149,,,,,,,,,dev2,2026-05-21
surecart/delete-customer,Delete Customer,surecart,Permanently delete a SureCart customer by their ID.,surecart,"Permanently delete a SureCart customer by their ID. All associated subscriptions, payments, and purchase records will be permanently removed within 24 hours. Requires explicit confirmation. This action cannot be undone.","destructive,idempotent",,,,,true,true,"required:[id,confirm]; props:[id,confirm]","type:object; props:[success,id]",abilities-for-ai:includes/suites/surecart/customer-abilities.php:209,,,,,,,,,dev2,2026-05-21
surecart/delete-price,Delete SureCart Price,surecart,Deletes a price.,surecart,Deletes a price. This action cannot be undone.,"destructive,idempotent,permission:delete",pro,,,✓,true,true,required:[id]; props:[id],type:none,abilities-for-ai:includes/suites/surecart/product-abilities.php:377,,,,,,,,,dev2,2026-05-21
surecart/delete-product,Delete SureCart Product,surecart,Deletes a SureCart product.,surecart,Deletes a SureCart product. This action cannot be undone.,"destructive,idempotent,permission:delete",pro,,,✓,true,true,required:[id]; props:[id],type:none,abilities-for-ai:includes/suites/surecart/product-abilities.php:156,,,,,,,,,dev2,2026-05-21
surecart/delete-product-collection,Delete SureCart Product Collection,surecart,Deletes a product collection.,surecart,Deletes a product collection. This action cannot be undone.,"destructive,idempotent,permission:delete",pro,,,✓,true,true,required:[id]; props:[id],type:none,abilities-for-ai:includes/suites/surecart/product-abilities.php:542,,,,,,,,,dev2,2026-05-21
surecart/delete-webhook,Delete SureCart Webhook,surecart,Deletes a webhook endpoint.,surecart,Deletes a webhook endpoint. This action cannot be undone.,"destructive,idempotent,permission:delete",pro,,,✓,true,true,required:[id]; props:[id],type:none,abilities-for-ai:includes/suites/surecart/webhook-abilities.php:104,,,,,,,,,dev2,2026-05-21
surecart/duplicate-product,Duplicate Product,surecart,"Duplicate an existing SureCart product by its ID, creating a new product with all prices, variants, variant options, and settings copied.",surecart,"Duplicate an existing SureCart product by its ID, creating a new product with all prices, variants, variant options, and settings copied. The duplicated product is created in active state with a modified name.",,,,,,true,true,required:[id]; props:[id],"type:object; props:[success,product]",abilities-for-ai:includes/suites/surecart/product-abilities.php:566,,,,,,,,,dev2,2026-05-21
surecart/find-customer-by-email,Find SureCart Customer by Email,surecart,Looks up a customer by their email address.,surecart,Looks up a customer by their email address.,"readonly,idempotent,permission:read",free,✓,,,true,true,required:[email]; props:[email],type:none,abilities-for-ai:includes/suites/surecart/customer-abilities.php:149,,,,,,,,,dev2,2026-05-21
surecart/get-account,Get SureCart Store Account,surecart,"Returns the SureCart store account details (name, currency, plan, etc.).",surecart,"Returns the SureCart store account details (name, currency, plan, etc.).","readonly,idempotent,permission:read",free,✓,,,true,true,required:none; props:none,type:none,abilities-for-ai:includes/suites/surecart/settings-abilities.php:22,,,,,,,,,dev2,2026-05-21
surecart/get-brand,Get SureCart Store Brand,surecart,"Returns the store brand settings (logo, colors, etc.).",surecart,"Returns the store brand settings (logo, colors, etc.).","readonly,idempotent,permission:read",free,✓,,,true,true,required:none; props:none,type:none,abilities-for-ai:includes/suites/surecart/settings-abilities.php:39,,,,,,,,,dev2,2026-05-21
surecart/get-charge,Get SureCart Charge,surecart,Returns a single charge by ID.,surecart,Returns a single charge by ID.,"readonly,idempotent,permission:read",free,✓,,,true,true,required:[id]; props:[id],type:none,abilities-for-ai:includes/suites/surecart/payment-abilities.php:57,,,,,,,,,dev2,2026-05-21
surecart/get-checkout,Get SureCart Checkout,surecart,Returns a single checkout session by ID.,surecart,Returns a single checkout session by ID.,"readonly,idempotent,permission:read",free,✓,,,true,true,required:[id]; props:[id],type:none,abilities-for-ai:includes/suites/surecart/order-abilities.php:145,,,,,,,,,dev2,2026-05-21
surecart/get-coupon,Get Coupon,surecart,"Retrieve a single SureCart coupon by its ID, including its associated promotions.",surecart,"Retrieve a single SureCart coupon by its ID, including its associated promotions. Returns the full coupon object with discount details and usage limits.","readonly,idempotent",,,,,true,true,required:[id]; props:[id],"type:object; props:[success,coupon]",abilities-for-ai:includes/suites/surecart/coupon-abilities.php:55,,,,,,,,,dev2,2026-05-21
surecart/get-customer,Get Customer,surecart,"Retrieve a single SureCart customer by their ID, including their purchases and associated data.",surecart,"Retrieve a single SureCart customer by their ID, including their purchases and associated data. Returns the full customer object with related data expanded.","readonly,idempotent",,,,,true,true,required:[id]; props:[id],"type:object; props:[success,customer]",abilities-for-ai:includes/suites/surecart/customer-abilities.php:54,,,,,,,,,dev2,2026-05-21
surecart/get-customer-portal-protocol,Get SureCart Customer Portal Protocol,surecart,Returns the customer portal configuration.,surecart,Returns the customer portal configuration.,"readonly,idempotent,permission:read",free,✓,,,true,true,required:none; props:none,type:none,abilities-for-ai:includes/suites/surecart/settings-abilities.php:124,,,,,,,,,dev2,2026-05-21
surecart/get-fulfillment,Get Fulfillment,surecart,"Retrieve a single SureCart fulfillment by its ID, including its fulfillment items and tracking information.",surecart,"Retrieve a single SureCart fulfillment by its ID, including its fulfillment items and tracking information. Returns the full fulfillment object with related data expanded.","readonly,idempotent",,,,,true,true,required:[id]; props:[id],"type:object; props:[success,fulfillment]",abilities-for-ai:includes/suites/surecart/fulfillment-abilities.php:55,,,,,,,,,dev2,2026-05-21
surecart/get-invoice,Get SureCart Invoice,surecart,Returns a single invoice by ID.,surecart,Returns a single invoice by ID.,"readonly,idempotent,permission:read",free,✓,,,true,true,required:[id]; props:[id],type:none,abilities-for-ai:includes/suites/surecart/payment-abilities.php:226,,,,,,,,,dev2,2026-05-21
surecart/get-license,Get License,surecart,"Retrieve a single SureCart license by its ID, including its activations, purchase, and product details.",surecart,"Retrieve a single SureCart license by its ID, including its activations, purchase, and product details. Returns the full license object with related data expanded.","readonly,idempotent",,,,,true,true,required:[id]; props:[id],"type:object; props:[success,license]",abilities-for-ai:includes/suites/surecart/license-abilities.php:57,,,,,,,,,dev2,2026-05-21
surecart/get-order,Get Order,surecart,"Retrieve a single SureCart order by its ID, including its checkout details, line items, customer, and payment information.",surecart,"Retrieve a single SureCart order by its ID, including its checkout details, line items, customer, and payment information. Returns the full order object with related data expanded.","readonly,idempotent",,,,,true,true,required:[id]; props:[id],"type:object; props:[success,order]",abilities-for-ai:includes/suites/surecart/order-abilities.php:59,,,,,,,,,dev2,2026-05-21
surecart/get-order-protocol,Get SureCart Order Protocol,surecart,Returns the store order management configuration.,surecart,Returns the store order management configuration.,"readonly,idempotent,permission:read",free,✓,,,true,true,required:none; props:none,type:none,abilities-for-ai:includes/suites/surecart/settings-abilities.php:107,,,,,,,,,dev2,2026-05-21
surecart/get-order-stats,Get SureCart Order Statistics,surecart,"Returns aggregate order statistics (revenue, counts, etc.) for a date range.",surecart,"Returns aggregate order statistics (revenue, counts, etc.) for a date range.","readonly,idempotent,permission:read",free,✓,,,true,true,"required:none; props:[start_at,end_at,interval]",type:none,abilities-for-ai:includes/suites/surecart/order-abilities.php:170,,,,,,,,,dev2,2026-05-21
surecart/get-price,Get SureCart Price,surecart,Returns a single price by ID.,surecart,Returns a single price by ID.,"readonly,idempotent,permission:read",free,✓,,,true,true,required:[id]; props:[id],type:none,abilities-for-ai:includes/suites/surecart/product-abilities.php:279,,,,,,,,,dev2,2026-05-21
surecart/get-product,Get Product,surecart,"Retrieve a single SureCart product by its ID, including its prices, variants, variant options, and metadata.",surecart,"Retrieve a single SureCart product by its ID, including its prices, variants, variant options, and metadata. Returns the full product object with all related data expanded.","readonly,idempotent",,,,,true,true,required:[id]; props:[id],"type:object; props:[success,product]",abilities-for-ai:includes/suites/surecart/product-abilities.php:62,,,,,,,,,dev2,2026-05-21
surecart/get-product-collection,Get SureCart Product Collection,surecart,Returns a single product collection by ID.,surecart,Returns a single product collection by ID.,"readonly,idempotent,permission:read",free,✓,,,true,true,required:[id]; props:[id],type:none,abilities-for-ai:includes/suites/surecart/product-abilities.php:460,,,,,,,,,dev2,2026-05-21
surecart/get-promotion,Get Promotion,surecart,"Retrieve a single SureCart promotion by its ID, including its associated coupon details.",surecart,"Retrieve a single SureCart promotion by its ID, including its associated coupon details. Returns the full promotion object with the linked coupon expanded.","readonly,idempotent",,,,,true,true,required:[id]; props:[id],"type:object; props:[success,promotion]",abilities-for-ai:includes/suites/surecart/coupon-abilities.php:206,,,,,,,,,dev2,2026-05-21
surecart/get-purchase,Get SureCart Purchase,surecart,Returns a single purchase (entitlement) by ID.,surecart,Returns a single purchase (entitlement) by ID.,"readonly,idempotent,permission:read",free,✓,,,true,true,required:[id]; props:[id],type:none,abilities-for-ai:includes/suites/surecart/subscription-abilities.php:255,,,,,,,,,dev2,2026-05-21
surecart/get-refund,Get Refund,surecart,"Retrieve a single SureCart refund by its ID, including the associated charge and refund items.",surecart,"Retrieve a single SureCart refund by its ID, including the associated charge and refund items. Returns the full refund object with related data expanded.","readonly,idempotent",,,,,true,true,required:[id]; props:[id],"type:object; props:[success,refund]",abilities-for-ai:includes/suites/surecart/payment-abilities.php:114,,,,,,,,,dev2,2026-05-21
surecart/get-return-request,Get SureCart Return Request,surecart,Returns a single return request by ID.,surecart,Returns a single return request by ID.,"readonly,idempotent,permission:read",free,✓,,,true,true,required:[id]; props:[id],type:none,abilities-for-ai:includes/suites/surecart/fulfillment-abilities.php:146,,,,,,,,,dev2,2026-05-21
surecart/get-shipping-protocol,Get SureCart Shipping Protocol,surecart,Returns the store shipping configuration.,surecart,Returns the store shipping configuration.,"readonly,idempotent,permission:read",free,✓,,,true,true,required:none; props:none,type:none,abilities-for-ai:includes/suites/surecart/settings-abilities.php:73,,,,,,,,,dev2,2026-05-21
surecart/get-statistics,Get SureCart Statistics,surecart,Returns aggregate store statistics for a date range.,surecart,"Returns aggregate store statistics for a date range. Currently only ""orders"" type is supported by the SureCart API on most plans.","readonly,idempotent,permission:read",free,✓,,,true,true,"required:none; props:[type,start_at,end_at,interval]",type:none,abilities-for-ai:includes/suites/surecart/extras-abilities.php:70,,,,,,,,,dev2,2026-05-21
surecart/get-subscription,Get Subscription,surecart,"Retrieve a single SureCart subscription by its ID, including the associated price, product, and billing details.",surecart,"Retrieve a single SureCart subscription by its ID, including the associated price, product, and billing details. Returns the full subscription object with related data expanded.","readonly,idempotent",,,,,true,true,required:[id]; props:[id],"type:object; props:[success,subscription]",abilities-for-ai:includes/suites/surecart/subscription-abilities.php:64,,,,,,,,,dev2,2026-05-21
surecart/get-subscription-protocol,Get SureCart Subscription Protocol,surecart,Returns the store subscription management configuration.,surecart,Returns the store subscription management configuration.,"readonly,idempotent,permission:read",free,✓,,,true,true,required:none; props:none,type:none,abilities-for-ai:includes/suites/surecart/settings-abilities.php:90,,,,,,,,,dev2,2026-05-21
surecart/get-subscription-stats,Get SureCart Subscription Statistics,surecart,Returns aggregate subscription statistics for a date range.,surecart,Returns aggregate subscription statistics for a date range. Requires SureCart plan with stats API access.,"readonly,idempotent,permission:read",free,✓,,,true,true,"required:none; props:[start_at,end_at,interval]",type:none,abilities-for-ai:includes/suites/surecart/subscription-abilities.php:185,,,,,,,,,dev2,2026-05-21
surecart/get-tax-protocol,Get SureCart Tax Protocol,surecart,Returns the store tax configuration.,surecart,Returns the store tax configuration.,"readonly,idempotent,permission:read",free,✓,,,true,true,required:none; props:none,type:none,abilities-for-ai:includes/suites/surecart/settings-abilities.php:56,,,,,,,,,dev2,2026-05-21
surecart/get-variant,Get SureCart Variant,surecart,Returns a single product variant by ID.,surecart,Returns a single product variant by ID.,"readonly,idempotent,permission:read",free,✓,,,true,true,required:[id]; props:[id],type:none,abilities-for-ai:includes/suites/surecart/product-abilities.php:401,,,,,,,,,dev2,2026-05-21
surecart/get-webhook,Get SureCart Webhook,surecart,Returns a single webhook endpoint by ID.,surecart,Returns a single webhook endpoint by ID.,"readonly,idempotent,permission:read",free,✓,,,true,true,required:[id]; props:[id],type:none,abilities-for-ai:includes/suites/surecart/webhook-abilities.php:46,,,,,,,,,dev2,2026-05-21
surecart/invoke-purchase,Invoke SureCart Purchase,surecart,Invokes (re-activates) a previously revoked purchase.,surecart,Invokes (re-activates) a previously revoked purchase.,"idempotent,permission:write",pro,,✓,,true,true,required:[id]; props:[id],type:none,abilities-for-ai:includes/suites/surecart/subscription-abilities.php:304,,,,,,,,,dev2,2026-05-21
surecart/list-abandoned-checkouts,List Abandoned Checkouts,surecart,Retrieve a paginated list of SureCart abandoned checkouts.,surecart,"Retrieve a paginated list of SureCart abandoned checkouts. Supports filtering by notification status, customer, and live/test mode. Each item includes its associated checkout, customer, and recovered checkout (if any).","readonly,idempotent",,,,,true,true,"required:none; props:[notification_status,customer_id,live_mode,page,per_page]","type:object; props:[success,abandoned_checkouts,pagination]",abilities-for-ai:includes/suites/surecart/order-abilities.php:208,,,,,,,,,dev2,2026-05-21
surecart/list-activations,List SureCart License Activations,surecart,Returns a paginated list of license activations.,surecart,Returns a paginated list of license activations.,"readonly,idempotent,permission:read",free,✓,,,true,true,"required:none; props:[page,per_page,license_id]",type:none,abilities-for-ai:includes/suites/surecart/license-abilities.php:81,,,,,,,,,dev2,2026-05-21
surecart/list-affiliations,List SureCart Affiliations,surecart,Returns a paginated list of affiliate accounts.,surecart,Returns a paginated list of affiliate accounts.,"readonly,idempotent,permission:read",free,✓,,,true,true,"required:none; props:[page,per_page]",type:none,abilities-for-ai:includes/suites/surecart/extras-abilities.php:111,,,,,,,,,dev2,2026-05-21
surecart/list-bumps,List SureCart Order Bumps,surecart,Returns configured order bumps.,surecart,Returns configured order bumps.,"readonly,idempotent,permission:read",free,✓,,,true,true,required:none; props:none,type:none,abilities-for-ai:includes/suites/surecart/extras-abilities.php:46,,,,,,,,,dev2,2026-05-21
surecart/list-charges,List SureCart Charges,surecart,Returns a paginated list of charges.,surecart,Returns a paginated list of charges.,"readonly,idempotent,permission:read",free,✓,,,true,true,"required:none; props:[page,per_page,customer_id,status]",type:none,abilities-for-ai:includes/suites/surecart/payment-abilities.php:22,,,,,,,,,dev2,2026-05-21
surecart/list-checkouts,List SureCart Checkouts,surecart,Returns a paginated list of checkout sessions.,surecart,Returns a paginated list of checkout sessions.,"readonly,idempotent,permission:read",free,✓,,,true,true,"required:none; props:[page,per_page,customer_id]",type:none,abilities-for-ai:includes/suites/surecart/order-abilities.php:112,,,,,,,,,dev2,2026-05-21
surecart/list-collections,List SureCart Product Collections,surecart,Returns product collections (groups of products).,surecart,Returns product collections (groups of products).,"readonly,idempotent,permission:read",free,✓,,,true,true,"required:none; props:[page,per_page]",type:none,abilities-for-ai:includes/suites/surecart/product-abilities.php:254,,,,,,,,,dev2,2026-05-21
surecart/list-coupons,List Coupons,surecart,Retrieve a paginated list of SureCart coupons.,surecart,"Retrieve a paginated list of SureCart coupons. Supports filtering by search query and archived status. Returns coupon names, IDs, discount details, and usage limits.","readonly,idempotent",,,,,true,true,"required:none; props:[query,archived,ids,page,per_page]","type:object; props:[success,coupons,pagination]",abilities-for-ai:includes/suites/surecart/coupon-abilities.php:22,,,,,,,,,dev2,2026-05-21
surecart/list-customers,List Customers,surecart,Retrieve a paginated list of SureCart customers.,surecart,"Retrieve a paginated list of SureCart customers. Supports filtering by search query and email. By default returns live mode customers only. Set live_mode to false to search test mode customers. Returns customer names, IDs, emails, and associated data.","readonly,idempotent",,,,,true,true,"required:none; props:[query,live_mode,page,per_page]","type:object; props:[success,customers,pagination]",abilities-for-ai:includes/suites/surecart/customer-abilities.php:21,,,,,,,,,dev2,2026-05-21
surecart/list-downloads,List SureCart Downloads,surecart,Returns a paginated list of downloadable files.,surecart,Returns a paginated list of downloadable files.,"readonly,idempotent,permission:read",free,✓,,,true,true,"required:none; props:[page,per_page,product_id]",type:none,abilities-for-ai:includes/suites/surecart/license-abilities.php:114,,,,,,,,,dev2,2026-05-21
surecart/list-fulfillments,List Fulfillments,surecart,Retrieve a paginated list of SureCart fulfillments.,surecart,Retrieve a paginated list of SureCart fulfillments. Supports filtering by order and shipment status. Returns fulfillment summaries with tracking information and item counts.,"readonly,idempotent",,,,,true,true,"required:none; props:[order_ids,shipment_status,page,per_page]","type:object; props:[success,fulfillments,pagination]",abilities-for-ai:includes/suites/surecart/fulfillment-abilities.php:22,,,,,,,,,dev2,2026-05-21
surecart/list-invoices,List SureCart Invoices,surecart,Returns a paginated list of invoices.,surecart,Returns a paginated list of invoices.,"readonly,idempotent,permission:read",free,✓,,,true,true,"required:none; props:[page,per_page,customer_id]",type:none,abilities-for-ai:includes/suites/surecart/payment-abilities.php:193,,,,,,,,,dev2,2026-05-21
surecart/list-licenses,List Licenses,surecart,Retrieve a paginated list of SureCart licenses.,surecart,"Retrieve a paginated list of SureCart licenses. Supports filtering by customer, product, purchase, and revoked status. Returns license keys, IDs, activation counts, and statuses.","readonly,idempotent",,,,,true,true,"required:none; props:[customer_id,product_id,purchase_id,revoked,query,page,per_page]","type:object; props:[success,licenses,pagination]",abilities-for-ai:includes/suites/surecart/license-abilities.php:22,,,,,,,,,dev2,2026-05-21
surecart/list-orders,List Orders,surecart,Retrieve a paginated list of SureCart orders.,surecart,"Retrieve a paginated list of SureCart orders. Supports filtering by order status and customer ID. Returns order summaries with IDs, amounts, statuses, and timestamps.","readonly,idempotent",,,,,true,true,"required:none; props:[status,customer_id,page,per_page]","type:object; props:[success,orders,pagination]",abilities-for-ai:includes/suites/surecart/order-abilities.php:21,,,,,,,,,dev2,2026-05-21
surecart/list-payment-intents,List SureCart Payment Intents,surecart,Returns a paginated list of payment intents.,surecart,Returns a paginated list of payment intents.,"readonly,idempotent,permission:read",free,✓,,,true,true,"required:none; props:[page,per_page]",type:none,abilities-for-ai:includes/suites/surecart/payment-abilities.php:168,,,,,,,,,dev2,2026-05-21
surecart/list-prices,List Prices,surecart,"Retrieve a paginated list of SureCart prices, optionally filtered by product ID.",surecart,"Retrieve a paginated list of SureCart prices, optionally filtered by product ID. Returns price amounts, currencies, recurring intervals, and associated product IDs.","readonly,idempotent",,,,,true,true,"required:none; props:[product_ids,archived,page,per_page]","type:object; props:[success,prices,pagination]",abilities-for-ai:includes/suites/surecart/product-abilities.php:180,,,,,,,,,dev2,2026-05-21
surecart/list-processors,List SureCart Payment Processors,surecart,"Returns configured payment processors (Stripe, PayPal, etc.).",surecart,"Returns configured payment processors (Stripe, PayPal, etc.).","readonly,idempotent,permission:read",free,✓,,,true,true,required:none; props:none,type:none,abilities-for-ai:includes/suites/surecart/settings-abilities.php:141,,,,,,,,,dev2,2026-05-21
surecart/list-products,List Products,surecart,Retrieve a paginated list of SureCart products.,surecart,"Retrieve a paginated list of SureCart products. Supports filtering by search query and archived status. Returns product names, IDs, prices, and metadata. By default returns only active (non-archived) products, 10 per page.","readonly,idempotent",,,,,true,true,"required:none; props:[query,archived,page,per_page]","type:object; props:[success,products,pagination]",abilities-for-ai:includes/suites/surecart/product-abilities.php:22,,,,,,,,,dev2,2026-05-21
surecart/list-promotions,List Promotions,surecart,Retrieve a paginated list of SureCart promotions.,surecart,"Retrieve a paginated list of SureCart promotions. Supports filtering by associated coupon and customer. Returns promotion codes, IDs, and linked coupon details.","readonly,idempotent",,,,,true,true,"required:none; props:[archived,coupon_ids,customer_ids,ids,page,per_page]","type:object; props:[success,promotions,pagination]",abilities-for-ai:includes/suites/surecart/coupon-abilities.php:173,,,,,,,,,dev2,2026-05-21
surecart/list-purchases,List SureCart Purchases,surecart,Returns a paginated list of purchases (entitlements).,surecart,Returns a paginated list of purchases (entitlements).,"readonly,idempotent,permission:read",free,✓,,,true,true,"required:none; props:[page,per_page,customer_id,product_id]",type:none,abilities-for-ai:includes/suites/surecart/customer-abilities.php:113,,,,,,,,,dev2,2026-05-21
surecart/list-referrals,List SureCart Referrals,surecart,Returns a paginated list of affiliate referrals.,surecart,Returns a paginated list of affiliate referrals.,"readonly,idempotent,permission:read",free,✓,,,true,true,"required:none; props:[page,per_page,affiliation_id]",type:none,abilities-for-ai:includes/suites/surecart/extras-abilities.php:136,,,,,,,,,dev2,2026-05-21
surecart/list-refunds,List Refunds,surecart,Retrieve a paginated list of SureCart refunds.,surecart,"Retrieve a paginated list of SureCart refunds. Supports filtering by charge, customer, or return request. Returns refund summaries with amounts, statuses, and reasons.","readonly,idempotent",,,,,true,true,"required:none; props:[page,per_page,charge_ids,customer_ids,return_request_ids]","type:object; props:[success,refunds,pagination]",abilities-for-ai:includes/suites/surecart/payment-abilities.php:81,,,,,,,,,dev2,2026-05-21
surecart/list-return-reasons,List SureCart Return Reasons,surecart,Returns available return reasons.,surecart,Returns available return reasons.,"readonly,idempotent,permission:read",free,✓,,,true,true,required:none; props:none,type:none,abilities-for-ai:includes/suites/surecart/fulfillment-abilities.php:170,,,,,,,,,dev2,2026-05-21
surecart/list-return-requests,List SureCart Return Requests,surecart,Returns a paginated list of return requests.,surecart,Returns a paginated list of return requests.,"readonly,idempotent,permission:read",free,✓,,,true,true,"required:none; props:[page,per_page,order_id,status]",type:none,abilities-for-ai:includes/suites/surecart/fulfillment-abilities.php:111,,,,,,,,,dev2,2026-05-21
surecart/list-shipping-methods,List SureCart Shipping Methods,surecart,Returns available shipping methods.,surecart,Returns available shipping methods.,"readonly,idempotent,permission:read",free,✓,,,true,true,required:none; props:none,type:none,abilities-for-ai:includes/suites/surecart/shipping-abilities.php:46,,,,,,,,,dev2,2026-05-21
surecart/list-shipping-profiles,List SureCart Shipping Profiles,surecart,Returns configured shipping profiles.,surecart,Returns configured shipping profiles.,"readonly,idempotent,permission:read",free,✓,,,true,true,required:none; props:none,type:none,abilities-for-ai:includes/suites/surecart/shipping-abilities.php:94,,,,,,,,,dev2,2026-05-21
surecart/list-shipping-rates,List SureCart Shipping Rates,surecart,Returns configured shipping rates.,surecart,Returns configured shipping rates.,"readonly,idempotent,permission:read",free,✓,,,true,true,required:none; props:none,type:none,abilities-for-ai:includes/suites/surecart/shipping-abilities.php:70,,,,,,,,,dev2,2026-05-21
surecart/list-shipping-zones,List SureCart Shipping Zones,surecart,Returns configured shipping zones.,surecart,Returns configured shipping zones.,"readonly,idempotent,permission:read",free,✓,,,true,true,required:none; props:none,type:none,abilities-for-ai:includes/suites/surecart/shipping-abilities.php:22,,,,,,,,,dev2,2026-05-21
surecart/list-subscriptions,List Subscriptions,surecart,Retrieve a paginated list of SureCart subscriptions.,surecart,"Retrieve a paginated list of SureCart subscriptions. Supports filtering by status, customer, price, and product. Returns subscription summaries with IDs, statuses, and billing details.","readonly,idempotent",,,,,true,true,"required:none; props:[status,customer_id,page,per_page]","type:object; props:[success,subscriptions,pagination]",abilities-for-ai:includes/suites/surecart/subscription-abilities.php:22,,,,,,,,,dev2,2026-05-21
surecart/list-upsell-funnels,List SureCart Upsell Funnels,surecart,Returns configured upsell funnels.,surecart,Returns configured upsell funnels.,"readonly,idempotent,permission:read",free,✓,,,true,true,required:none; props:none,type:none,abilities-for-ai:includes/suites/surecart/extras-abilities.php:22,,,,,,,,,dev2,2026-05-21
surecart/list-variant-options,List SureCart Variant Options,surecart,"Returns variant options (size, color, etc.) for a product.",surecart,"Returns variant options (size, color, etc.) for a product.","readonly,idempotent,permission:read",free,✓,,,true,true,required:none; props:[product_id],type:none,abilities-for-ai:includes/suites/surecart/product-abilities.php:425,,,,,,,,,dev2,2026-05-21
surecart/list-variants,List SureCart Variants,surecart,Returns variants for a product.,surecart,Returns variants for a product.,"readonly,idempotent,permission:read",free,✓,,,true,true,"required:none; props:[page,per_page,product_id]",type:none,abilities-for-ai:includes/suites/surecart/product-abilities.php:219,,,,,,,,,dev2,2026-05-21
surecart/list-webhooks,List SureCart Webhooks,surecart,Returns configured webhook endpoints.,surecart,Returns configured webhook endpoints.,"readonly,idempotent,permission:read",free,✓,,,true,true,required:none; props:none,type:none,abilities-for-ai:includes/suites/surecart/webhook-abilities.php:22,,,,,,,,,dev2,2026-05-21
surecart/preview-upcoming-period,Preview SureCart Upcoming Period,surecart,"Previews the next billing period for a subscription (amount, date, etc.).",surecart,"Previews the next billing period for a subscription (amount, date, etc.). The subscription must be active with a recurring price.","readonly,idempotent,permission:read",free,✓,,,true,true,required:[id]; props:[id],type:none,abilities-for-ai:includes/suites/surecart/subscription-abilities.php:223,,,,,,,,,dev2,2026-05-21
surecart/renew-subscription,Renew SureCart Subscription,surecart,"Renews a subscription, triggering a new billing cycle.",surecart,"Renews a subscription, triggering a new billing cycle.","idempotent,permission:write",pro,,✓,,true,true,required:[id]; props:[id],type:none,abilities-for-ai:includes/suites/surecart/subscription-abilities.php:161,,,,,,,,,dev2,2026-05-21
